Include,Category,Title,Tags,URL,Source,Volume
Y,NATURE SOUNDS,Thunder + Rain + Beach,"thunder, rain, beach, waves",https://archive.org/download/relaxingsounds/Thunder%201%208h%20VeryLowRumbling%2CRain%2CWaves-Beach.mp3,relaxingsounds,
Y,NATURE SOUNDS,Ocean Waves,"ocean, waves, beach, night",https://archive.org/download/relaxingsounds/Waves%201%2010h%20Beach-Sunset%20into%20Night.mp3,relaxingsounds,
Y,NATURE SOUNDS,Rain - Medium,"rain, thunder, gentle",https://archive.org/download/relaxingsounds/Rain%202%20%28Med.%2B%29%2010h%20LowGentleThunder%2C%20Downpour.mp3,relaxingsounds,
Y,NATURE SOUNDS,Campfire + Crickets,"campfire, crickets, fire, night",https://archive.org/download/relaxingsounds/FIRE%201%2010h%20CracklingCampfire%2CCrickets%2CRainOrRiver-Night.mp3,relaxingsounds,
Y,NATURE SOUNDS,Rain on Tent Canvas,"rain, tent, camping, gentle",https://archive.org/download/relaxingsounds/Rain%206%20%28Light%29%2010h%20on%20Tent%20Canvas%2C%28MediumGentle%29-no%20thunder.mp3,relaxingsounds,
Y,NATURE SOUNDS,Rainforest,"rainforest, river, birds, nature",https://archive.org/download/relaxingsounds/Rainforest%205h%20Bubbling%20River%20Falls(gentle)%2CBirds%2CInsects%2CAnimals-Daytime%2CSouth%20America.mp3,relaxingsounds,
Y,NATURE SOUNDS,Athabasca Falls ,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HRS%20Calming%20Sounds%20of%20Athabasca%20Falls%2C%20Canada%20for%20Concentration%2C%20Work%20and%20Study.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Waterfall for Concentration,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HRS%20Relaxing%20Sounds%20of%20a%20Waterfall%20for%20Concentration%20and%20Work.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Forest Stream + Birds,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20Calming%20Sounds%20of%20a%20Forest%20Stream%20and%20Bird%20Songs.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Ocean Waves for Sleep,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20Ocean%20Waves%20Sounds%20for%20Sleep%20Better.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Waterfall Peaceful,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20of%20Waterfall%20Peaceful%20Sounds.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Mountain River White Noise + Birds ,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20of%20Mountain%20River%20White%20Noise%20and%20Bird%20Songs%20for%20Stress%20Relief.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Tropical Forest Stream + Birds,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HOURS%20of%20Tropical%20Forest%20Stream%20%26%20Gentle%20Birds%20Singing.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Tropical Rainforest Rain + Birds,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20K%20Tropical%20Rainforest%20-%208%20HOURS%20of%20Relaxing%20Rain%20Sounds%20and%20Tropical%20Birds%20Chirping.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Wind White Noise + Lake,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20HRS%20White%20Noise%20of%20Wind%20and%20Gentle%20Lake%20Sound%20for%20Relaxation.mp3,8-hours-of-waterfall-peaceful-sounds,
Y,NATURE SOUNDS,Soothing River for Work,"nature, long, sleep, focus",https://archive.org/download/8-hours-of-waterfall-peaceful-sounds/8%20Hours%20Soothing%20River%20Sounds%20for%20Concentration%20and%20Work.mp3,8-hours-of-waterfall-peaceful-sounds,
